DataSize, HeapSort,Quick, Insertion
100, 3396600, 560400, 794100
200, 435800, 3081400, 1360900
400, 721000, 392300, 3853100
800, 1651800, 815700, 8603700
1600, 3846100, 2284500, 26454400
3200, 6510200, 3503000, 10781500
6400, 5017100, 1113300, 28414700
12800, 9928500, 3136000, 125958300
25600, 15568800, 4741500, 485462700
51200, 18839100, 9339600, 1704605300
102400, 41754100, 21497200, 7130757800
204800, 111198800, 43345800, 35829057100
